,Unnamed: 0,Grp,KVG
0,0,400-200,0
1,1,200-120,1
2,2,120-90,2
3,3,90-60,3
4,4,60-40,4
5,5,40-30,5
6,6,30-25,6
7,7,25-20,7
8,8,20-15,8
9,9,15-10,9
10,10,10-7,10
11,11,7-6,11
12,12,6-5,12
13,13,5-4,13
14,14,4-3.4,14
15,15,0.30-0.39,21
16,16,0.40-0.49,22
17,17,0.50-0.59,23
18,18,0.60-0.69,24
19,19,0.70-0.79,25
20,20,0.80-0.89,26
21,21,0.90-0.99,27
22,22,1.00-1.24,31
23,23,1.25-1.49,32
24,24,1.50-1.74,33
25,25,1.75-1.99,34
26,26,2.00-2.24,35
27,27,2.25-2.49,36
28,28,2.50-2.74,37
29,29,2.75-2.99,38
30,30,3.00-3.24,39
31,31,3.25-3.49,40
32,32,3.50-3.74,41
33,33,3.75-3.99,42
34,34,4.00-4.24,43
35,35,4.25-4.49,44
36,36,4.50-4.74,45
37,37,4.75-4.99,46
38,38,5.00-5.24,47
39,39,5.25-5.49,48
40,40,5.50-5.74,49
41,41,5.75-5.99,50
42,42,6.00-6.24,51
43,43,6.25-6.49,52
44,44,6.50-6.74,53
45,45,6.75-6.99,54
46,46,7.00-7.24,55
47,47,7.25-7.49,56
48,48,7.50-7.74,57
49,49,7.75-7.99,58
50,50,8.00-8.24,59
51,51,8.25-8.49,60
52,52,8.50-8.74,61
53,53,8.75-8.99,62
54,54,9.00-9.24,63
55,55,9.25-9.49,64
56,56,9.50-9.74,65
57,57,9.75-9.99,66
58,58,10.00-10.24,67
59,59,10.25-10.49,68
60,60,10.50-10.74,69
61,61,10.75-10.99,70
62,62,11.00-11.24,71
63,63,11.25-11.49,72
64,64,11.50-11.74,73
65,65,11.75-11.99,74
66,66,12.00-12.24,75
67,67,12.25-12.49,76
68,68,12.50-12.74,77
69,69,12.75-12.99,78
70,70,13.00-13.24,79
71,71,13.25-13.49,80
72,72,13.50-13.74,81
73,73,13.75-13.99,82
74,74,14.00-14.24,83
75,75,14.25-14.49,84
76,76,14.50-14.74,85
77,77,14.75-14.99,86
78,78,15.00-15.24,87
79,79,15.25-15.49,88
80,80,15.50-15.74,89
81,81,15.75-15.99,90
82,82,16.00-16.24,91
83,83,16.25-16.49,92
84,84,16.50-16.74,93
85,85,16.75-16.99,94
86,86,17.00-17.24,95
87,87,17.25-17.49,96
88,88,17.50-17.74,97
89,89,17.75-17.99,98
90,90,18.00-18.24,99
91,91,18.25-18.49,100
92,92,18.50-18.74,101
93,93,18.75-18.99,102
94,94,19.00-19.24,103
95,95,19.25-19.49,104
96,96,19.50-19.74,105
97,97,19.75-19.99,106
98,98,20.00-20.24,107
99,99,20.25-20.49,108
100,100,20.50-20.74,109
