Код,ogrbasic,Grp,KVG,Po,Col,Cla,ШТУК,КАРАТ,Pr2018,Pr2019
1,Кр-17,400-200,0,А,1.0,1.0,10,0.03,600.0,600.0
2,Кр-17,400-200,0,А,2.0,1.0,10,0.03,520.0,520.0
3,Кр-17,400-200,0,А,3.0,1.0,10,0.03,360.0,360.0
4,Кр-17,400-200,0,А,4.0,1.0,10,0.03,90.0,90.0
5,Кр-17,400-200,0,А,1.0,2.0,10,0.03,535.0,535.0
6,Кр-17,400-200,0,А,2.0,2.0,10,0.03,475.0,475.0
7,Кр-17,400-200,0,А,3.0,2.0,10,0.03,330.0,330.0
8,Кр-17,400-200,0,А,4.0,2.0,10,0.03,90.0,90.0
9,Кр-17,400-200,0,А,1.0,3.0,10,0.03,415.0,415.0
10,Кр-17,400-200,0,А,2.0,3.0,10,0.03,370.0,370.0
11,Кр-17,400-200,0,А,3.0,3.0,10,0.03,270.0,270.0
12,Кр-17,400-200,0,А,4.0,3.0,10,0.03,90.0,90.0
13,Кр-17,400-200,0,А,1.0,4.0,10,0.03,290.0,290.0
14,Кр-17,400-200,0,А,2.0,4.0,10,0.03,260.0,260.0
15,Кр-17,400-200,0,А,3.0,4.0,10,0.03,200.0,200.0
16,Кр-17,400-200,0,А,4.0,4.0,10,0.03,80.0,80.0
17,Кр-17,400-200,0,А,1.0,5.0,10,0.03,175.0,175.0
18,Кр-17,400-200,0,А,2.0,5.0,10,0.03,165.0,165.0
19,Кр-17,400-200,0,А,3.0,5.0,10,0.03,135.0,135.0
20,Кр-17,400-200,0,А,4.0,5.0,10,0.03,60.0,60.0
21,Кр-17,400-200,0,А,1.0,6.0,10,0.03,40.0,40.0
22,Кр-17,400-200,0,А,2.0,6.0,10,0.03,40.0,40.0
23,Кр-17,400-200,0,А,3.0,6.0,10,0.03,40.0,40.0
24,Кр-17,400-200,0,А,4.0,6.0,10,0.03,20.0,20.0
25,Кр-17,200-120,1,А,1.0,1.0,10,0.06,600.0,600.0
26,Кр-17,200-120,1,А,2.0,1.0,10,0.06,520.0,520.0
27,Кр-17,200-120,1,А,3.0,1.0,10,0.06,360.0,360.0
28,Кр-17,200-120,1,А,4.0,1.0,10,0.06,90.0,90.0
29,Кр-17,200-120,1,А,1.0,2.0,10,0.06,535.0,535.0
30,Кр-17,200-120,1,А,2.0,2.0,10,0.06,475.0,475.0
31,Кр-17,200-120,1,А,3.0,2.0,10,0.06,330.0,330.0
32,Кр-17,200-120,1,А,4.0,2.0,10,0.06,90.0,90.0
33,Кр-17,200-120,1,А,1.0,3.0,10,0.06,415.0,415.0
34,Кр-17,200-120,1,А,2.0,3.0,10,0.06,370.0,370.0
35,Кр-17,200-120,1,А,3.0,3.0,10,0.06,270.0,270.0
36,Кр-17,200-120,1,А,4.0,3.0,10,0.06,90.0,90.0
37,Кр-17,200-120,1,А,1.0,4.0,10,0.06,290.0,290.0
38,Кр-17,200-120,1,А,2.0,4.0,10,0.06,260.0,260.0
39,Кр-17,200-120,1,А,3.0,4.0,10,0.06,200.0,200.0
40,Кр-17,200-120,1,А,4.0,4.0,10,0.06,80.0,80.0
41,Кр-17,200-120,1,А,1.0,5.0,10,0.06,175.0,175.0
42,Кр-17,200-120,1,А,2.0,5.0,10,0.06,165.0,165.0
43,Кр-17,200-120,1,А,3.0,5.0,10,0.06,135.0,135.0
44,Кр-17,200-120,1,А,4.0,5.0,10,0.06,60.0,60.0
45,Кр-17,200-120,1,А,1.0,6.0,10,0.06,40.0,40.0
46,Кр-17,200-120,1,А,2.0,6.0,10,0.06,40.0,40.0
47,Кр-17,200-120,1,А,3.0,6.0,10,0.06,40.0,40.0
48,Кр-17,200-120,1,А,4.0,6.0,10,0.06,20.0,20.0
49,Кр-17,120-90,2,А,1.0,1.0,10,0.1,600.0,600.0
50,Кр-17,120-90,2,А,2.0,1.0,10,0.1,520.0,520.0
51,Кр-17,120-90,2,А,3.0,1.0,10,0.1,360.0,360.0
52,Кр-17,120-90,2,А,4.0,1.0,10,0.1,90.0,90.0
53,Кр-17,120-90,2,А,1.0,2.0,10,0.1,535.0,535.0
54,Кр-17,120-90,2,А,2.0,2.0,10,0.1,475.0,475.0
55,Кр-17,120-90,2,А,3.0,2.0,10,0.1,330.0,330.0
56,Кр-17,120-90,2,А,4.0,2.0,10,0.1,90.0,90.0
57,Кр-17,120-90,2,А,1.0,3.0,10,0.1,415.0,415.0
58,Кр-17,120-90,2,А,2.0,3.0,10,0.1,370.0,370.0
59,Кр-17,120-90,2,А,3.0,3.0,10,0.1,270.0,270.0
60,Кр-17,120-90,2,А,4.0,3.0,10,0.1,90.0,90.0
61,Кр-17,120-90,2,А,1.0,4.0,10,0.1,290.0,290.0
62,Кр-17,120-90,2,А,2.0,4.0,10,0.1,260.0,260.0
63,Кр-17,120-90,2,А,3.0,4.0,10,0.1,200.0,200.0
64,Кр-17,120-90,2,А,4.0,4.0,10,0.1,80.0,80.0
65,Кр-17,120-90,2,А,1.0,5.0,10,0.1,175.0,175.0
66,Кр-17,120-90,2,А,2.0,5.0,10,0.1,165.0,165.0
67,Кр-17,120-90,2,А,3.0,5.0,10,0.1,135.0,135.0
68,Кр-17,120-90,2,А,4.0,5.0,10,0.1,60.0,60.0
69,Кр-17,120-90,2,А,1.0,6.0,10,0.1,40.0,40.0
70,Кр-17,120-90,2,А,2.0,6.0,10,0.1,40.0,40.0
71,Кр-17,120-90,2,А,3.0,6.0,10,0.1,40.0,40.0
72,Кр-17,120-90,2,А,4.0,6.0,10,0.1,20.0,20.0
73,Кр-17,90-60,3,А,1.0,1.0,10,0.14,520.0,520.0
74,Кр-17,90-60,3,А,2.0,1.0,10,0.14,440.0,440.0
75,Кр-17,90-60,3,А,3.0,1.0,10,0.14,320.0,320.0
76,Кр-17,90-60,3,А,4.0,1.0,10,0.14,90.0,90.0
77,Кр-17,90-60,3,А,1.0,2.0,10,0.14,460.0,460.0
78,Кр-17,90-60,3,А,2.0,2.0,10,0.14,405.0,405.0
79,Кр-17,90-60,3,А,3.0,2.0,10,0.14,300.0,300.0
80,Кр-17,90-60,3,А,4.0,2.0,10,0.14,90.0,90.0
81,Кр-17,90-60,3,А,1.0,3.0,10,0.14,385.0,385.0
82,Кр-17,90-60,3,А,2.0,3.0,10,0.14,345.0,345.0
83,Кр-17,90-60,3,А,3.0,3.0,10,0.14,255.0,255.0
84,Кр-17,90-60,3,А,4.0,3.0,10,0.14,90.0,90.0
85,Кр-17,90-60,3,А,1.0,4.0,10,0.14,270.0,270.0
86,Кр-17,90-60,3,А,2.0,4.0,10,0.14,250.0,250.0
87,Кр-17,90-60,3,А,3.0,4.0,10,0.14,190.0,190.0
88,Кр-17,90-60,3,А,4.0,4.0,10,0.14,80.0,80.0
89,Кр-17,90-60,3,А,1.0,5.0,10,0.14,165.0,165.0
90,Кр-17,90-60,3,А,2.0,5.0,10,0.14,160.0,160.0
91,Кр-17,90-60,3,А,3.0,5.0,10,0.14,130.0,130.0
92,Кр-17,90-60,3,А,4.0,5.0,10,0.14,60.0,60.0
93,Кр-17,90-60,3,А,1.0,6.0,10,0.14,40.0,40.0
94,Кр-17,90-60,3,А,2.0,6.0,10,0.14,40.0,40.0
95,Кр-17,90-60,3,А,3.0,6.0,10,0.14,40.0,40.0
96,Кр-17,90-60,3,А,4.0,6.0,10,0.14,20.0,20.0
97,Кр-17,60-40,4,А,1.0,1.0,10,0.2,485.0,485.0
98,Кр-17,60-40,4,А,2.0,1.0,10,0.2,415.0,415.0
99,Кр-17,60-40,4,А,3.0,1.0,10,0.2,300.0,300.0
100,Кр-17,60-40,4,А,4.0,1.0,10,0.2,90.0,90.0
101,Кр-17,60-40,4,А,1.0,2.0,10,0.2,435.0,435.0
102,Кр-17,60-40,4,А,2.0,2.0,10,0.2,380.0,380.0
103,Кр-17,60-40,4,А,3.0,2.0,10,0.2,280.0,280.0
104,Кр-17,60-40,4,А,4.0,2.0,10,0.2,90.0,90.0
105,Кр-17,60-40,4,А,1.0,3.0,10,0.2,365.0,365.0
106,Кр-17,60-40,4,А,2.0,3.0,10,0.2,325.0,325.0
107,Кр-17,60-40,4,А,3.0,3.0,10,0.2,240.0,240.0
108,Кр-17,60-40,4,А,4.0,3.0,10,0.2,90.0,90.0
109,Кр-17,60-40,4,А,1.0,4.0,10,0.2,255.0,255.0
110,Кр-17,60-40,4,А,2.0,4.0,10,0.2,240.0,240.0
111,Кр-17,60-40,4,А,3.0,4.0,10,0.2,180.0,180.0
112,Кр-17,60-40,4,А,4.0,4.0,10,0.2,80.0,80.0
113,Кр-17,60-40,4,А,1.0,5.0,10,0.2,155.0,155.0
114,Кр-17,60-40,4,А,2.0,5.0,10,0.2,150.0,150.0
115,Кр-17,60-40,4,А,3.0,5.0,10,0.2,125.0,125.0
116,Кр-17,60-40,4,А,4.0,5.0,10,0.2,60.0,60.0
117,Кр-17,60-40,4,А,1.0,6.0,10,0.2,40.0,40.0
118,Кр-17,60-40,4,А,2.0,6.0,10,0.2,40.0,40.0
119,Кр-17,60-40,4,А,3.0,6.0,10,0.2,40.0,40.0
120,Кр-17,60-40,4,А,4.0,6.0,10,0.2,20.0,20.0
121,Кр-17,40-30,5,А,1.0,1.0,10,0.29,485.0,485.0
122,Кр-17,40-30,5,А,2.0,1.0,10,0.29,415.0,415.0
123,Кр-17,40-30,5,А,3.0,1.0,10,0.29,300.0,300.0
124,Кр-17,40-30,5,А,4.0,1.0,10,0.29,90.0,90.0
125,Кр-17,40-30,5,А,1.0,2.0,10,0.29,435.0,435.0
126,Кр-17,40-30,5,А,2.0,2.0,10,0.29,380.0,380.0
127,Кр-17,40-30,5,А,3.0,2.0,10,0.29,280.0,280.0
128,Кр-17,40-30,5,А,4.0,2.0,10,0.29,90.0,90.0
129,Кр-17,40-30,5,А,1.0,3.0,10,0.29,365.0,365.0
130,Кр-17,40-30,5,А,2.0,3.0,10,0.29,325.0,325.0
131,Кр-17,40-30,5,А,3.0,3.0,10,0.29,240.0,240.0
132,Кр-17,40-30,5,А,4.0,3.0,10,0.29,90.0,90.0
133,Кр-17,40-30,5,А,1.0,4.0,10,0.29,255.0,255.0
134,Кр-17,40-30,5,А,2.0,4.0,10,0.29,240.0,240.0
135,Кр-17,40-30,5,А,3.0,4.0,10,0.29,180.0,180.0
136,Кр-17,40-30,5,А,4.0,4.0,10,0.29,80.0,80.0
137,Кр-17,40-30,5,А,1.0,5.0,10,0.29,155.0,155.0
138,Кр-17,40-30,5,А,2.0,5.0,10,0.29,150.0,150.0
139,Кр-17,40-30,5,А,3.0,5.0,10,0.29,125.0,125.0
140,Кр-17,40-30,5,А,4.0,5.0,10,0.29,60.0,60.0
141,Кр-17,40-30,5,А,1.0,6.0,10,0.29,40.0,40.0
142,Кр-17,40-30,5,А,2.0,6.0,10,0.29,40.0,40.0
143,Кр-17,40-30,5,А,3.0,6.0,10,0.29,40.0,40.0
144,Кр-17,40-30,5,А,4.0,6.0,10,0.29,20.0,20.0
145,Кр-17,30-25,6,А,1.0,1.0,10,0.29,440.0,440.0
146,Кр-17,30-25,6,А,2.0,1.0,10,0.29,390.0,390.0
147,Кр-17,30-25,6,А,3.0,1.0,10,0.29,280.0,280.0
148,Кр-17,30-25,6,А,4.0,1.0,10,0.29,90.0,90.0
149,Кр-17,30-25,6,А,1.0,2.0,10,0.29,405.0,405.0
150,Кр-17,30-25,6,А,2.0,2.0,10,0.29,360.0,360.0
151,Кр-17,30-25,6,А,3.0,2.0,10,0.29,260.0,260.0
152,Кр-17,30-25,6,А,4.0,2.0,10,0.29,90.0,90.0
153,Кр-17,30-25,6,А,1.0,3.0,10,0.29,340.0,340.0
154,Кр-17,30-25,6,А,2.0,3.0,10,0.29,310.0,310.0
155,Кр-17,30-25,6,А,3.0,3.0,10,0.29,230.0,230.0
156,Кр-17,30-25,6,А,4.0,3.0,10,0.29,90.0,90.0
157,Кр-17,30-25,6,А,1.0,4.0,10,0.29,240.0,240.0
158,Кр-17,30-25,6,А,2.0,4.0,10,0.29,225.0,225.0
