,Unnamed: 0,ogrdisc,grps,grpe,ogrdiscount,Grp
0,0,Кр-17,400-200,4.0-3.3,1.0,400-200
1,0,Кр-17,400-200,4.0-3.3,1.0,200-120
2,0,Кр-17,400-200,4.0-3.3,1.0,120-90
3,0,Кр-17,400-200,4.0-3.3,1.0,90-60
4,0,Кр-17,400-200,4.0-3.3,1.0,60-40
5,0,Кр-17,400-200,4.0-3.3,1.0,40-30
6,0,Кр-17,400-200,4.0-3.3,1.0,30-25
7,0,Кр-17,400-200,4.0-3.3,1.0,25-20
8,0,Кр-17,400-200,4.0-3.3,1.0,20-15
9,0,Кр-17,400-200,4.0-3.3,1.0,15-10
10,0,Кр-17,400-200,4.0-3.3,1.0,10-7
11,0,Кр-17,400-200,4.0-3.3,1.0,7-6
12,0,Кр-17,400-200,4.0-3.3,1.0,6-5
13,0,Кр-17,400-200,4.0-3.3,1.0,5-4
14,0,Кр-17,400-200,4.0-3.3,1.0,4-3.4
15,1,Кр-57,400-200,6.00-6.24,1.0,400-200
16,1,Кр-57,400-200,6.00-6.24,1.0,200-120
17,1,Кр-57,400-200,6.00-6.24,1.0,120-90
18,1,Кр-57,400-200,6.00-6.24,1.0,90-60
19,1,Кр-57,400-200,6.00-6.24,1.0,60-40
20,1,Кр-57,400-200,6.00-6.24,1.0,40-30
21,1,Кр-57,400-200,6.00-6.24,1.0,30-25
22,1,Кр-57,400-200,6.00-6.24,1.0,25-20
23,1,Кр-57,400-200,6.00-6.24,1.0,20-15
24,1,Кр-57,400-200,6.00-6.24,1.0,15-10
25,1,Кр-57,400-200,6.00-6.24,1.0,10-7
26,1,Кр-57,400-200,6.00-6.24,1.0,7-6
27,1,Кр-57,400-200,6.00-6.24,1.0,6-5
28,1,Кр-57,400-200,6.00-6.24,1.0,5-4
29,1,Кр-57,400-200,6.00-6.24,1.0,4-3.4
30,1,Кр-57,400-200,6.00-6.24,1.0,0.30-0.39
